n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,5,0.3,0.001,True,0.6764359474182129,0.5,0.6770316362380981,0.5
16,5,0.3,0.001,False,0.6728821396827698,0.5,0.6765939593315125,0.5
16,5,0.3,0.0001,True,0.6931471228599548,0.5118712186813354,0.6931471824645996,0.5114344954490662
16,5,0.3,0.0001,False,0.6915965676307678,0.5023742318153381,0.6918640732765198,0.5031185150146484
16,5,0.5,0.01,True,0.6762070655822754,0.5,0.6780189871788025,0.5
16,5,0.5,0.01,False,0.6361905336380005,0.7075233459472656,0.6314998269081116,0.7177754640579224
16,5,0.5,0.1,True,0.693149983882904,0.5,0.693149983882904,0.5
16,5,0.5,0.1,False,0.7222775816917419,0.5,0.7234095931053162,0.5
16,5,0.5,0.001,True,0.6925182342529297,0.5,0.6925649046897888,0.5
16,5,0.5,0.001,False,0.6713760495185852,0.5000742077827454,0.6737508773803711,0.5
16,5,0.5,0.0001,True,0.6931472420692444,0.5,0.6931473016738892,0.5
16,5,0.5,0.0001,False,0.6930867433547974,0.5037839412689209,0.6931276917457581,0.502598762512207
16,5,0.8,0.01,True,0.6925212740898132,0.5269327759742737,0.6927412152290344,0.5207900404930115
16,5,0.8,0.01,False,0.6685505509376526,0.5568333864212036,0.6737220287322998,0.542619526386261
16,5,0.8,0.1,True,0.6902160048484802,0.5357620120048523,0.6903585195541382,0.5291060209274292
16,5,0.8,0.1,False,0.7053514122962952,0.5026710033416748,0.7027392983436584,0.5015592575073242
16,5,0.8,0.001,True,0.6931449174880981,0.5455557107925415,0.6931449174880981,0.5369023084640503
16,5,0.8,0.001,False,0.6928615570068359,0.5421427488327026,0.692846417427063,0.5358628034591675
16,5,0.8,0.0001,True,0.693024754524231,0.5,0.6930290460586548,0.5
16,5,0.8,0.0001,False,0.6924251317977905,0.5658109784126282,0.6927818059921265,0.5706860423088074
32,1,0.0,0.01,True,0.4381011426448822,0.8204481601715088,0.45347604155540466,0.8045738339424133
32,1,0.0,0.01,False,0.443814218044281,0.8058317303657532,0.45772528648376465,0.7946985363960266
32,1,0.0,0.1,True,0.6676976084709167,0.5,0.6594281196594238,0.5
32,1,0.0,0.1,False,0.6915684342384338,0.6261314749717712,0.6907719969749451,0.6237006187438965
32,1,0.0,0.001,True,0.6446206569671631,0.5181035995483398,0.6470053791999817,0.5155925154685974
32,1,0.0,0.001,False,0.612913191318512,0.6274669766426086,0.6139527559280396,0.6195425987243652
32,1,0.0,0.0001,True,0.6760208010673523,0.5477815866470337,0.6778659820556641,0.5431392788887024
32,1,0.0,0.0001,False,0.6731072664260864,0.5023742318153381,0.6738541126251221,0.5015592575073242
32,1,0.3,0.01,True,0.4448830187320709,0.8135480284690857,0.46022188663482666,0.7972972989082336
32,1,0.3,0.01,False,0.5163862705230713,0.7356432676315308,0.5226057171821594,0.7338877320289612
32,1,0.3,0.1,True,0.6517924070358276,0.5,0.6491480469703674,0.5
32,1,0.3,0.1,False,23.28607749938965,0.5,22.938074111938477,0.5
32,1,0.3,0.001,True,0.6090894341468811,0.5830242037773132,0.6077139377593994,0.5925155878067017
32,1,0.3,0.001,False,0.6029351949691772,0.6242024302482605,0.6038211584091187,0.6226611137390137
32,1,0.3,0.0001,True,0.6739742755889893,0.5017064809799194,0.676079511642456,0.5010395050048828
32,1,0.3,0.0001,False,0.6749764084815979,0.5011871457099915,0.6763853430747986,0.562889814376831
32,1,0.5,0.01,True,0.48969143629074097,0.765914797782898,0.5026838779449463,0.75
32,1,0.5,0.01,False,0.48116716742515564,0.7931444048881531,0.48534634709358215,0.790020763874054
32,1,0.5,0.1,True,0.6834471225738525,0.5,0.6839147806167603,0.5717255473136902
32,1,0.5,0.1,False,17.03354835510254,0.5,16.58106231689453,0.5
32,1,0.5,0.001,True,0.6486169099807739,0.5317554473876953,0.6500639915466309,0.5317047834396362
32,1,0.5,0.001,False,0.6163950562477112,0.5663303136825562,0.6167287826538086,0.5675675868988037
32,1,0.5,0.0001,True,0.678554892539978,0.5050452351570129,0.6804431676864624,0.5051975250244141
32,1,0.5,0.0001,False,0.679890513420105,0.5015580654144287,0.6821476817131042,0.5010395050048828
32,1,0.8,0.01,True,0.540225088596344,0.7459563612937927,0.5543051958084106,0.7286902070045471
32,1,0.8,0.01,False,0.47907277941703796,0.7681406736373901,0.4877875745296478,0.7577962875366211
32,1,0.8,0.1,True,0.8028174638748169,0.5377652645111084,0.7983077168464661,0.5379418134689331
32,1,0.8,0.1,False,0.7142589092254639,0.5,0.7142675518989563,0.5
32,1,0.8,0.001,True,0.6230835914611816,0.6071375608444214,0.6211115121841431,0.6081081032752991
32,1,0.8,0.001,False,0.6634824275970459,0.5237423777580261,0.6648405194282532,0.5202702879905701
32,1,0.8,0.0001,True,0.6762910485267639,0.5075678825378418,0.6845541000366211,0.5077962875366211
32,1,0.8,0.0001,False,0.6732755899429321,0.5082356333732605,0.6732127666473389,0.5083159804344177
